sample,samples,TCGA_GTEX_main_category,_sample_type,_study,_primary_site,CD19,TNFRSF17,MS4A1,CD22,GPRC5D,SLAMF7,ERBB2,EGFR,MSLN,CD276,CD19_level,TNFRSF17_level,MS4A1_level,CD22_level,GPRC5D_level,SLAMF7_level,ERBB2_level,EGFR_level,MSLN_level,CD276_level,high_target_count,coexpress_2plus
TCGA-AB-2886-03,TCGA-AB-2886-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,12.33,4.073,9.604,8.995,1.214,7.567,7.711,1.214,7.191,4.466,High,Mid,High,High,Low,Mid,Low,Low,Mid,Low,3,Yes
TCGA-AB-2830-03,TCGA-AB-2830-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,11.47,6.059,11.58,10.51,1.337,9.109,8.492,2.48,0.0,5.549,High,High,High,High,Low,High,Low,Low,Low,Low,5,Yes
TCGA-AB-2875-03,TCGA-AB-2875-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,11.34,5.371,9.736,9.846,1.23,9.064,8.099,0.0,5.223,7.025,High,High,High,High,Low,High,Low,Low,Mid,Low,5,Yes
TCGA-AB-2858-03,TCGA-AB-2858-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,10.36,6.219,8.205,7.481,5.811,8.856,8.104,3.114,5.85,3.551,High,High,High,Mid,High,Mid,Low,Low,Mid,Low,4,Yes
TCGA-AB-2918-03,TCGA-AB-2918-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,10.36,4.144,7.866,8.085,1.132,7.49,6.979,2.799,1.132,4.766,High,Mid,High,Mid,Low,Mid,Low,Low,Low,Low,2,Yes
TCGA-AB-2817-03,TCGA-AB-2817-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,10.34,4.171,9.607,11.65,0.0,9.121,8.708,4.315,3.098,5.05,High,Mid,High,High,Low,High,Low,Low,Mid,Low,4,Yes
TCGA-AB-2862-03,TCGA-AB-2862-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,10.01,4.949,10.36,9.934,1.463,7.918,7.887,1.463,2.175,7.715,High,High,High,High,Low,Mid,Low,Low,Low,Low,4,Yes
TCGA-AB-3008-03,TCGA-AB-3008-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,9.928,4.865,8.922,11.59,1.227,8.358,9.376,5.874,2.67,6.03,High,High,High,High,Low,Mid,Low,Low,Mid,Low,4,Yes
TCGA-AB-2871-03,TCGA-AB-2871-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,9.88,6.823,12.29,10.91,4.961,10.61,8.647,0.0,4.007,2.945,High,High,High,High,High,High,Low,Low,Mid,Low,6,Yes
TCGA-AB-2937-03,TCGA-AB-2937-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,9.828,3.998,6.983,7.794,2.726,6.751,8.919,0.0,6.825,7.237,High,Mid,High,Mid,Mid,Mid,Low,Low,Mid,Low,2,Yes
TCGA-AB-2819-03,TCGA-AB-2819-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,9.743,5.031,8.729,8.263,2.827,8.983,6.775,4.27,12.89,5.185,High,High,High,Mid,Mid,Mid,Low,Low,High,Low,4,Yes
TCGA-AB-2857-03,TCGA-AB-2857-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,9.677,6.787,13.01,12.21,3.611,10.75,8.672,5.938,0.0,7.33,High,High,High,High,Mid,High,Low,Low,Low,Low,5,Yes
TCGA-AB-2806-03,TCGA-AB-2806-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,9.445,5.672,9.216,7.536,1.834,8.758,7.485,1.19,6.504,4.736,High,High,High,Mid,Low,Mid,Low,Low,Mid,Low,3,Yes
TCGA-AB-2899-03,TCGA-AB-2899-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,9.335,7.042,11.64,11.62,5.707,10.86,7.429,5.932,1.468,9.339,High,High,High,High,High,High,Low,Low,Low,Low,6,Yes
TCGA-AB-2920-03,TCGA-AB-2920-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,9.076,6.091,9.928,11.51,3.517,9.064,7.505,0.0,3.851,6.982,High,High,High,High,Mid,High,Low,Low,Mid,Low,5,Yes
TCGA-AB-2930-03,TCGA-AB-2930-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,8.967,5.083,9.325,9.031,5.431,8.665,7.916,0.0,1.612,3.358,High,High,High,High,High,Mid,Low,Low,Low,Low,5,Yes
